,Legislator name,Legislative Effectiveness Score,party,Name,name,speech
10,Cindy Axne,1.3378957509994507,D,axne,axne," Mrs. AXNE. Mr. Speaker, I am so pleased to cosponsor this amendment  today, to ensure that no taxpayer dollars go toward advancing a lawsuit  that literally threatens the livelihood of millions of Americans.  Mr. Speaker, since 2017, we have seen an administration obsessed with  undermining, sabotaging, and repealing a law that protects millions  living with preexisting conditions in this country.  As we end another month of a devastating health crisis that has taken  the lives of 150,000 Americans, they are doubling down and insisting-- and I quote their own words here--``the ACA must fall.''  This isn't only extraordinarily tone-deaf. It is playing politics  with the lives of people in this country, including Iowans.  The SPEAKER pro tempore. The time of the gentlewoman from Illinois  has expired.  The SPEAKER pro tempore. Pursuant to "", House Resolution 1067, ', the  previous question is ordered on the amendment offered by the  gentlewoman from Illinois (Ms. Underwood).  The question is on the amendment.  The question was taken; and the Speaker pro tempore announced that  the ayes appear to have it.    "
11,Brian Babin,0.5621753931045532,R,babin,babin," Mr. BABIN. Mr. Speaker, I yield myself such time as I may consume.  Mr. Speaker, I rise in support of ', S. 1694, ', the One Small Step to  Protect Human Heritage in Space Act.  As an original cosponsor of the House companion bill, ', H.R. 3766, "", I  certainly appreciate the importance of respecting the historic  significance of the Apollo missions.  Mr. Speaker, I represent Johnson Space Center, or JSC, the home of  NASA's Mission Control and the men and women who made the Apollo  missions possible. JSC has a long history of developing spacecraft and  conducting missions in space.  From the very earliest Mercury missions that put the first Americans  in space through Gemini and Apollo missions, as well as the space  shuttle and International Space Station era, Houston has been the  anchor of our Nation's human spaceflight program. As NASA develops the  next generation of human spaceflight capabilities, Houston and JSC will  remain America's tether to deep space.  But while it is important to recognize and respect the  accomplishments of the past, we should not simply rest on our laurels.  We have a lot more to do.  Mr. Speaker, America does not look longingly in the rearview mirror  of history. We stand on the shoulders of giants and carry the torch lit  by those before us farther into the unknown. The bill before us  correctly balances these two competing interests: respecting the past  and enabling the future.  The Outer Space Treaty, drafted at the dawn of the space age, lays  out important principles for all spacefaring nations. It calls for  establishing the Principle of Due Regard, which respects the activities  of actors in space and creates a process for signatories to the treaty  to undertake appropriate consultations before any action that would  potentially cause harmful interference with another party to the  treaty.  More importantly, the treaty establishes, in its opening article, the  overarching principle that outer space, including the Moon and other  celestial bodies, shall be free for exploration and use by all states  without discrimination of any kind on the basis of equality and in  accordance with international law, and there shall be free access to  all areas of celestial bodies.  This bill directs NASA to continue developing recommendations and  best practices that protect this freedom while also respecting the  Principle of Due Regard and informing the practice of consultation  ahead of potentially harmful interference with the Apollo landing  artifacts. The bill also calls on [["", Page , H7222, ] NASA to include these recommendations in all contracts, grants,  cooperative agreements, and partnerships.  The bill does not create any additional regulatory authority.  Instead, the bill offers a carrot rather than a stick. If the private  sector wants to leverage the vast experience and resources that NASA  offers, they simply must abide by NASA's own internal policies.  NASA is not a regulatory agency, and this bill does not grant any  other agency any new power or mechanism to influence commercial space  activities. This will allow our Nation's emerging and vibrant  commercial space sector to continue to innovate, while also respecting  the rich archaeological, anthropological, historical, scientific, and  engineering accomplishments of the Apollo program.  Mr. Speaker, I thank Ranking Member Lucas, Senator Peters, Senator  Cruz, and Chairwoman Johnson for working with me to get this bill  across the finish line.  I also thank Chairwoman Kendra Horn for her leadership over the last  2 years. Her tenure as chairwoman for the Subcommittee on Space and  Aeronautics was marked by significant change and accomplishments for  our Nation's space program.  Her steady and fair treatment for all Members' interests should serve  as a shining example to this distinguished body. She will be missed,  and I wish her the very, very best in the future.  Mr. Speaker, I recommend swift passage of this measure, and I yield  back the balance of my time.  {time} 1615  Ms. KENDRA S. HORN of Oklahoma. Mr. Speaker, I yield myself such time  as I may consume.  Mr. Speaker, I want to begin by first thanking Ranking Member Babin,  as well as Chairwoman Johnson and Ranking Member Lucas and Senators  Peters and Cruz, for their work on this.  Particularly, I thank Ranking Member Babin. It has truly been an  honor to be able to work with his on these issues and to do so in a  constructive way that advances policy that is good for the United  States, for discovery, for innovation, and for our leadership in a way  that we can come together.  Space is one of those areas where it is and should be bipartisan,  where we can come together for the best interests of our Nation, to  continue to advance discovery and to encourage innovation.  Mr. Speaker, this bill does just that. It finds the right balance  between preserving the heritage of the Apollo era, for a reminder of  what we can accomplish when we come together to work, to advance  technology, to do what has never been done before, while not placing  too much burden on our ability to move forward into the future and  advance that discovery.  Our Nation's space program has long served as a source of inspiration  and innovation and helped make sure that we, as a nation, are a leader  in technology, innovation, and discovery.  Mr. Speaker, I encourage swift passage of this bill. I encourage all  of my colleagues to vote ``yea,'' and I yield back the balance of my  time.    "
12,Don Bacon,0.8577378392219543,R,bacon,bacon," Mr. BACON. Madam Speaker, I rise today to recognize Mr. Steve Nelson,  a man who has been at the forefront of Nebraska's booming agriculture  industry and who retired on December 8 of this year as the president of  the Nebraska Farm Bureau, a position he has faithfully served since  2011.  A farmer his whole life, Steve has produced irrigated corn, hybrid  seed corn, and soybeans at his farm near Axtell in south central  Nebraska.  In his work with the Farm Bureau, both before and during his tenure  as president, Steve has helped to secure farm bills and worked to  reform and lower taxes to help protect farm and ranch families.  He has also fought to bolster animal agriculture against those who  want to end it and sought initiatives to grow Nebraska's livestock  industry.  While Texas and Nebraska may have had a rivalry on the football  field, they also have held a rivalry in livestock. During Steve's time  as president, Nebraska was ranked first for several years in commercial  red meat production.  Steve has also advocated for Nebraska's agriculture industry to other  countries, serving as a delegation member to Denmark, Japan, South  Korea, Belgium, and many others.  I am sure his wife, Elma, a retired nurse, is looking forward to  spending more time with her husband and is proud of the work he has  done, as are his kids: Scott and his wife, Amy, who farm with Steve;  and their daughter, Stacy, and her husband, Bobby, who live in Ashland.  Sadly, their daughter, Sarah, passed away unexpectedly in 2006. Of  course, his four grandchildren, I am sure, will spend more time with  grandpa on the farm.  I thank Steve for advocating and bolstering Nebraska's agriculture  industry. I thank him for his friendship and his counsel.  Madam Speaker, I wish Steve the best on his retirement from the  bureau.    "
13,James Baird,0.03976054489612579,R,baird,baird," Mr. BAIRD. Mr. Speaker, today, I rise to honor Linden, Indiana,  resident Dr. Mark Eutsler.  This year marks the 25th year that Dr. Eutsler has co-chaired the  nationally televised IPL 500 Festival Parade. Using his experience as  the former director of bands at McCutcheon High School, he has helped  over 45,000 students from 425 Indiana schools participate in the  nationally acclaimed IPL 500 Festival Parade.  Prior to his appointment as co-chair, Dr. Eutsler has served as an  enthusiastic supporter of the Indianapolis 500 Festival for decades.  Mark has attended the parade consistently since 1980 and has been a  volunteer for the event for 29 years.  Dr. Eutsler's consecutive years of service stand out among the more  than 3,000 volunteers who will fill roughly 7,000 positions for the  month-long May event every year.  Dr. Mark Eutsler is a pillar of the community. I express my deepest  thanks and appreciation for his passion and for the service he has  devoted to a program that defines Hoosier heritage.    "
14,Troy Balderson,0.06958094984292984,R,balderson,balderson," Mr. BALDERSON. Mr. Speaker, I rise today in support of the Neil A.  Armstrong Test Facility Act. The Buckeye State is honored to have been  the home of American hero Neil Alden Armstrong.  From the Wright brothers to the namesake of this legislation, Ohio  boasts a rich history as leaders in the aerospace industry.  Born in northwest Ohio, Neil Armstrong made history on July 21, 1969,  as he uttered the words: ``That's one small step for man, one giant  leap for mankind.''  As the first human being to step foot on the Moon, Neil Armstrong  inspired generations of Americans to literally follow in his footsteps.  The United States owes a debt of gratitude to Mr. Armstrong for his  service at NASA through multiple space exploration programs, as well as  the U.S. Navy.  The Neil A. Armstrong Test Facility Act would honor this American  hero by bestowing his name on a critical NASA test facility station in  Armstrong's home State of Ohio.  Mr. Speaker, I urge my colleagues to vote in support of the Neil A.  Armstrong Test Facility Act.  Ms. KENDRA S. HORN of Oklahoma. Mr. Speaker, I am prepared to close,  and I reserve the balance of my time.    "
15,Jim Banks,0.5771211385726929,R,banks,banks," Mr. BANKS. Mr. Speaker, I thank the ranking member for yielding time  to me today and for his many years of service. America and the world  are safer today because of Mac Thornberry's service in the United  States House of Representatives.  Mr. Speaker, I thank Mr. Smith, the chairman of the committee, as  well, for ensuring that this year's NDAA is bipartisan once again.  Mr. Speaker, I want to rise most of all in support of the aptly named  Mac Thornberry National Defense Authorization Act.  While the bill doesn't include everything I want it to and there are  certainly items that I wish would be removed, overall, it ensures that  our Nation is protected, and it supports our men and women in uniform.  So many in the Trump administration have warned us for years that  China is our Nation's long-term strategic competitor, and countering  China is a key focus of the fiscal year 2021 NDAA.  Having just been a part of the Future of Defense Task Force and the  China Task Force, I am more motivated than ever before to stop the  Chinese Communist Party's egregious affronts on the U.S. Government,  its citizens, and our military. I appreciate the inclusion of many  important recommendations from both of those task force reports in this  year's NDAA.  This NDAA establishes the Pacific Deterrence Initiative to strengthen  U.S. posture and capability in the Indo-Pacific region, and it works  better with [["", Page , H6927, ] allies to deter against Chinese malign behavior.  {time} 1330  It also protects against Chinese industrial espionage by requiring a  Presidential assessment on how to deter it and large-scale cyber threat  of intellectual property and personal information.  The NDAA also includes a number of protections for Federal  investments in science and technology by including new mandates on  university research and limiting funding for universities with  Confucius Institutes, for example.  These are just some of the very important provisions in this year's  bill, to not just acknowledge the China threat, Mr. Speaker, but to  address it head-on. That is why I urge all of my colleagues to vote in  favor of this critical legislation.    "
16,Andy Barr,2.2088539600372314,R,barr,barr," Mr. BARR. Madam Speaker, I rise today in support of long-delayed  legislation to deliver more resources to the [["", Page , H7296, ] American people to defeat the COVID-19 virus and provide much-needed  relief from government-imposed lockdowns of the economy.  Ultimately, no amount of government spending can substitute for a  fully functioning, open economy free of government lockdowns. But I am  confident this relief package, which provides over $284 billion to  reload and strengthen the Paycheck Protection Program, will help bridge  the gap until COVID-19 vaccines are widely distributed. It does so in a  fiscally responsible way by rescinding and reallocating $429 billion in  Federal Reserve emergency lending authority, and it repurposes unused  PPP funds.  Importantly, this bill provides effective, targeted relief, with a  net price tag of approximately $325 billion in new outlays. It does not  include the liberal wish list that was the centerpiece of the Speaker's  originally $3.4 trillion Heroes Act, a fiscally reckless proposal that  needlessly delayed this reasonable bipartisan compromise.  For months, I have called on Congress and the administration to  simplify the PPP forgiveness application for small businesses to ease  their burdens and ensure lender participation. Today, that goal becomes  a reality.  I also support the bill's extension of troubled debt restructuring  relief, which allows lenders to work with their borrowers to modify  loans. And I strongly support its provision to ensure small businesses  can deduct expenses covered by PPP loans.  While it has taken far too long to get to this point, the bill we are  passing today will bring much-needed help to American workers,  families, and small businesses, without putting more massive amounts of  debt on the American people.  Madam Speaker, I urge my colleagues to vote ``yes'' on this bill.    "
17,Nanette Barragan,0.8301119804382324,D,barragan,barragan," Ms. BARRAGAN. Mr. Speaker, I rise today in support of "", H.R. 4499, ', the  NIMHD Research Endowment Revitalization Act, a bill I introduced with  my friend and colleague from Georgia, Congressman Carter.  This legislation moves us closer to ending the disparities in public  health between minority communities and other Americans. We need to  understand why people in minority communities are more likely to get  certain illnesses and how we can prevent that. ', H.R. 4499, "" will fund the  research that will help us find solutions.  If signed into law, this bill will once again allow for current and  former NIMHD or HRSA Centers of Excellence to receive research  endowment funding, money that is critical in the fight to reduce  minority health disparities.  The Research Endowment Program at the National Institute on Minority  Health and Health Disparities provides funding to the endowments of  academic institutions across the country, such as Charles Drew  University in my district.  The goals of the program include:  Promoting minority health and health disparities research capacity  and infrastructure;  Increasing the diversity and strength of the scientific workforce;  and  Enhancing the recruitment and retention of individuals from health  disparity populations that are underrepresented in the scientific  workforce.  Charles Drew University has stated that this legislation and the  funding are critical to their mission and that they support this  legislation because:  ``Restoring eligibility would allow the University to continue its  historic focus on research to close the gap between the burden of  illness and premature mortality experienced more commonly by  communities of color, as well as other medically underserved  populations, as compared to the nation as a whole. It would also help  to grow and enhance the University's capacity and infrastructure for  health disparities research within the Urban Health Institute.''  During the COVID health emergency, where communities of color are  once again disproportionately affected, research into health  disparities is more crucial than ever.  I want to once again thank my colleague Congressman Carter for co- leading this bill with me, as well as the other bipartisan cosponsors:  Congresswoman Kelly, Congressman Rogers, and the late John Lewis. I  also want to thank Chairman Pallone for working with me to help move  this important bill through the Committee.  I urge all my colleagues to vote yes on the NIMHD Research Endowment  Revitalization Act so that these schools can continue this important  research on minority health disparities.  Charles R. Drew University of Medicine and Science Statement on "", H.R. 4499, '  Charles R. Drew University of Medicine in Science (CDU) is   in strong support of ', H.R. 4499, ' which amend the Public Health   Service Act to provide that the authority of the Director of   the National Institute on Minority Health and Health   Disparities to make certain research endowments applies with   respect to both current and former centers of excellence, and   for other purposes.  If enacted ', H.R. 4499, "" would reinstate the University's   eligibility for NIMHD endowment grants that were withdrawn   because the University had received endowment grants for 10   years despite being underfunded for its critical health   disparities research. [["", Page , H5805, ]  Restoring eligibility would allow the University to continue   its historic focus on research to close the gap between the   burden of illness and premature mortality experienced more   commonly by communities of color, as well as other medically   underserved populations, as compared to the nation as a   whole. It would also help to grow and enhance the   University's capacity and infrastructure for health   disparities research within the Urban Health Institute.  Respectfully Submitted,  David M. Carlisle, MD, PhD,  President and CEO, Charles R. Drew  University of Medicine and Science.  The SPEAKER pro tempore. The question is on the motion offered by the  gentleman from New Jersey (Mr. Pallone) that the House suspend the  rules and pass the bill, "", H.R. 4499, ', as amended.  The question was taken; and (two-thirds being in the affirmative) the  rules were suspended and the bill, as amended, was passed.  A motion to reconsider was laid on the table.    "
18,Karen Bass,2.2914934158325195,D,bass,bass," Ms. BASS. Mr. Speaker, I have an amendment at the desk.  The SPEAKER pro tempore. The Clerk will report the amendment.  The Clerk read as follows:  Strike all that follows after the resolving clause and   insert the following:  That in the enrollment of "", S. 3312, "", an Act to establish a   crisis stabilization and community reentry grant program, and   for other purposes, the Secretary of the Senate shall--  (1) in section 3051(a) of title I of the Omnibus Crime   Control and Safe Streets Act of 1968, as added by section 2   of the Act, strike ``, for use by State and local   correctional facilities,'' and insert ``, Indian Tribes,   units of local government, and community-based nonprofit   organizations'';  (2) in section 3051(b)(1)(B) of title I of the Omnibus   Crime Control and Safe Streets Act of 1968, as added by   section 2 of the Act, strike ``offenders'' and insert   ``individuals'';  (3) in the section heading for section 3052 of title I of   the Omnibus Crime Control and Safe Streets Act of 1968, as   added by section 2 of the Act, strike ``state'';  (4) in section 3052(a) of title I of the Omnibus Crime   Control and Safe Streets Act of 1968, as added by section 2   of the Act, in the matter preceding paragraph (1), strike ``,   or such agency as the chief executive may designate,'' and   insert ``, Indian Tribe, unit of local government, or   community-based non-profit organization'';  (5) in section 3052(a)(3) of title I of the Omnibus Crime   Control and Safe Streets Act of 1968, as added by section 2   of the Act, in the matter preceding subparagraph (A), after   ``State'' insert ``, Tribal, or local'';  (6) in section 3052(b)(1) of title I of the Omnibus Crime   Control and Safe Streets Act of 1968, as added by section 2   of the Act--  (A) after ``State'' insert ``, Indian Tribe, unit of local   government, or community-based nonprofit organization''; and  (B) after ``facility'' insert ``and adopt policies that   focus on programming, strategies, and educational components   for reducing recidivism and probation violations'';  (7) in the section heading for section 3053 of title I of   the Omnibus Crime Control and [["", Page , H7217, ]  Safe Streets Act of 1968, as added by section 2 of the Act,   strike ``state'';  (8) in section 3054 of title I of the Omnibus Crime Control   and Safe Streets Act of 1968, as added by section 2 of the   Act, after ``State'' insert ``, Indian Tribe, unit of local   government, or community-based nonprofit organization''; and  (9) amend section 3055 of title I of the Omnibus Crime   Control and Safe Streets Act of 1968, as added by section 2   of the Act, to read as follows:  ``SEC. 3055. AUTHORIZATION OF FUNDING.  ``  Subject to the availability of appropriations, for purposes   of carrying out this part, the Attorney General is authorized   to award not more than $10,000,000 of funds appropriated to   the Department of Justice for these purposes for each of   fiscal years 2021 through 2025.''.  Ms. BASS (during the reading). Mr. Speaker, I ask unanimous consent  to dispense with the reading of the amendment.  The SPEAKER pro tempore. Is there objection to the request of the  gentlewoman from California?  There was no objection.  The amendment was agreed to.  The concurrent resolution was concurred in.  A motion to reconsider was laid on the table.    "
19,Joyce Beatty,1.2930370569229126,D,beatty,beatty," Mrs. BEATTY. Madam Speaker, I thank the gentlewoman from Florida for  yielding.  I rise today to support this legislation because my constituents  desperately need the unemployment benefits, the stimulus checks, the  food assistance, the eviction moratoriums, the small business Minority  Development Institution funds and the CDFI assistance funds, and other  protections in this bill.  Seven months after the House passed the Heroes Act, Republicans have  finally relented to allow more support to the American people who are  struggling through the three pandemics: COVID-19, economic hardships,  and social injustices.  So let me be clear: The GOP has had a knee on Americans' necks by  holding this bill up, and it still falls short of what we need to get  through this crisis.  But I will continue to stand up for my constituents of the Third  Congressional District and for people across this Nation and my  colleagues to work with the Biden administration to get people the  support they need to build back better.    "
20,Ami Bera,0.9858531951904297,D,bera,bera," Mr. BERA. Mr. Speaker, I rise today to urge support of my resolution,  ', H. Res. 1012, ', which recognizes the transformation of the U.S.-South  Korea relationship into a strong and enduring partnership that benefits  the entire world.  As the proud co-chair of the Korea Caucus and the co-chair of the  Congressional Study Group on Korea, I know how important this  relationship is to our two countries.  This spring, I introduced this resolution because I wanted to  acknowledge and highlight the shared history and ties between our  nations.  It was over 70 years ago that the United States rushed to the aid of  the Republic of Korea after they were attacked by its neighbor to the  north.  The United States, leading the multinational coalition of the United  Nations Command, successfully defended the Republic of Korea.  But the war devastated South Korea. Forty years ago, South Korea was  one of the poorest countries in the world. Today, they are one of the  most advanced. It is a miracle, and it is hard work.  The Republic of Korea became a democracy in the late 1980s. Today, it  is one of the most widely respected countries in Asia and the world. It  has been incredibly successful against the COVID-19 pandemic and has  helped the United States in our own battle against it.  President-elect Biden has recognized the value of our relationship  with Korea, and his call to President Moon Jae-in was one of the first  calls to a foreign leader.  Our ties with the Republic of Korea are enduring. They are based on  our shared people-to-people values, our vibrant Korean-American  community, American expatriates in South Korea, and our economic ties.  We have shared values and respect for democracy and human rights. We  will work together to confront the challenges of this pandemic, as well  as other challenges, like climate change.  I thank my colleagues on both sides of the aisle who support and  sustain this alliance, as well as Chairman Engel and Ranking Member  McCaul and their staff, like Theresa Lou, who helped bring this  resolution to the floor.    "
21,Jack Bergman,1.3701997995376587,R,bergman,bergman," Mr. BERGMAN. Mr. Speaker, I rise today in support of "", H.R. 7105, "", the  Johnny Isakson and David P. Roe, M.D. Veterans Health Care and Benefits  Improvement Act of 2020.  I consider the word ``optimism'' to mean hope that actually includes  a plan, and I have sincere optimism that the bipartisan legislative  package before us today will serve as a blueprint for the great work we  can achieve in the next Congress by working together. More importantly,  I have confidence that it will make a positive difference in veterans'  lives.  For example, "", H.R. 7105, "" includes my legislation, the GI Bill Planning  Act of 2019, which will give military enlistees greater ability to  consider which GI Bill benefits are right for them.  Just think, in the heat of the first 2 weeks of their boot camp, 70  percent of enlistees decide to pay $1,200 upfront to opt into their  Montgomery GI Bill benefit, but 97 percent actually end up using the  more robust post-9/11 GI Bill. By delaying this Montgomery GI Bill opt- in decision 6 months and responsibly ending new enrollment in 10 years,  we will actually save recruits money and ensure they are more informed  on their future education benefits.  Mr. Speaker, I thank the chairman and the ranking member for  including not only my bill but several other major measures that I have  co-led to improve VA transparency in benefits decisions, as well as  increase accountability in the Department's efforts to address programs  that are at a high risk of waste, fraud, and abuse.  Mr. Speaker, I urge my colleagues to support "", H.R. 7105, "", and I wish  Dr. Roe fair winds and following seas.    "
22,Don Beyer,1.1953010559082031,D,beyer,beyer," Mr. BEYER. Madam Speaker, I rise to support the CASH Act, which will  send $2,000 checks to the American people.  I want to thank Chairman Neal for coming together very quickly to  create this act in a thoughtful way.  The American people are hurting this holiday season, and they need  our help. Our bill would increase those payments to $2,000, which would  also include adult dependents and students.  We realize that $600 is not enough for people facing eviction and  hunger. For many, this will just pay a past-due rental bill for July.  It is good and important that we are sending support to small  businesses, strong unemployment aid, nutrition and rental assistance,  but this relief is coming 7 months later than it should have. It is  vital that Congress not penny-pinch the American people now.  This CASH bill is bipartisan, and if Senator Mitch McConnell would  put it on the Senate floor, it would be bicameral.  Let me push back, too, that this is too much.  We have 40 million Americans who work full-time and made less than  $18,000 last year. With the minimum wage at $7.25, there isn't a single  two-bedroom apartment you can rent in a county in America for that  money. There are tens of millions without healthcare.  My family sells new cars and used cars. I have watched the debt  burden of so many people just rise and rise and rise over the years.  Is there a better way? You know, my Republican friends hate it when  so-called Big Government decides what we need. The best way to let  people manage their family is to put the money in their hands, give  them that American freedom.  Somehow, we can print money to do a $4 trillion tax cut over 20  years, but we can't print enough money to help the American people.  This is a good bill. I salute Chairman Richard Neal, and I hope every  Democrat and every Republican will vote for it.    "
